metric,value,category
accuracy,0.8333333333333334,performance
balanced_accuracy,0.8333333333333333,performance
precision,0.75,performance
recall,1.0,performance
f1_score,0.8571428571428571,performance
precision_macro,0.875,macro_average
recall_macro,0.8333333333333333,macro_average
f1_score_macro,0.8285714285714285,macro_average
true_positives,3.0,confusion_matrix
true_negatives,2.0,confusion_matrix
false_positives,1.0,confusion_matrix
false_negatives,0.0,confusion_matrix
sensitivity,1.0,additional_metrics
specificity,0.6666666666666666,additional_metrics
npv,1.0,additional_metrics
total_studies,6.0,counts
correct_predictions,5.0,counts
incorrect_predictions,1.0,counts
